attack_type,casting_time,concentration,duration,index,level,material,name,range,ritual,school_index,school_name
ranged,1 action,False,Instantaneous,acid-arrow,2,Powdered rhubarb leaf and an adder's stomach.,Acid Arrow,90 feet,False,evocation,Evocation
,1 action,False,Instantaneous,acid-splash,0,,Acid Splash,60 feet,False,conjuration,Conjuration
,1 action,False,8 hours,aid,2,A tiny strip of white cloth.,Aid,30 feet,False,abjuration,Abjuration
,1 minute,False,8 hours,alarm,1,A tiny bell and a piece of fine silver wire.,Alarm,30 feet,True,abjuration,Abjuration
,1 action,True,Up to 1 hour,alter-self,2,,Alter Self,Self,False,transmutation,Transmutation
,1 action,False,24 hours,animal-friendship,1,A morsel of food.,Animal Friendship,30 feet,False,enchantment,Enchantment
,1 action,False,24 hours,animal-messenger,2,A morsel of food.,Animal Messenger,30 feet,True,enchantment,Enchantment
,1 action,True,Up to 24 hours,animal-shapes,8,,Animal Shapes,30 feet,False,transmutation,Transmutation
,1 minute,False,Instantaneous,animate-dead,3,"A drop of blood, a piece of flesh, and a pinch of bone dust.",Animate Dead,10 feet,False,necromancy,Necromancy
,1 action,True,Up to 1 minute,animate-objects,5,,Animate Objects,120 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 hour,antilife-shell,5,,Antilife Shell,Self,False,abjuration,Abjuration
,1 action,True,Up to 1 hour,antimagic-field,8,A pinch of powdered iron or iron filings.,Antimagic Field,Self,False,abjuration,Abjuration
,1 hour,False,10 days,antipathy-sympathy,8,Either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect.,Antipathy/Sympathy,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 hour,arcane-eye,4,A bit of bat fur.,Arcane Eye,30 feet,False,divination,Divination
,1 action,True,Up to 1 minute,arcane-hand,5,An eggshell and a snakeskin glove.,Arcane Hand,120 feet,False,evocation,Evocation
,1 action,False,Until dispelled,arcane-lock,2,"Gold dust worth at least 25gp, which the spell consumes.",Arcane Lock,Touch,False,abjuration,Abjuration
melee,1 action,True,Up to 1 minute,arcane-sword,7,"A miniature platinum sword with a grip and pommel of copper and zinc, worth 250 gp.",Arcane Sword,60 feet,False,evocation,Evocation
,1 action,False,24 hours,arcanists-magic-aura,2,A small square of silk.,Arcanist's Magic Aura,Touch,False,illusion,Illusion
,1 hour,False,Special,astral-projection,9,"For each creature you affect with this spell, you must provide one jacinth worth at least 1,000gp and one ornately carved bar of silver worth at least 100gp, all of which the spell consumes.",Astral Projection,10 feet,False,necromancy,Necromancy
,1 minute,False,Instantaneous,augury,2,"Specially marked sticks, bones, or similar tokens worth at least 25gp.",Augury,Self,True,divination,Divination
,8 hours,False,Instantaneous,awaken,5,"An agate worth at least 1,000 gp, which the spell consumes.",Awaken,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,bane,1,A drop of blood.,Bane,30 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,banishment,4,An item distasteful to the target.,Banishment,60 feet,False,abjuration,Abjuration
,1 action,True,Up to 1 hour,barkskin,2,A handful of oak bark.,Barkskin,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,beacon-of-hope,3,,Beacon of Hope,30 feet,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,bestow-curse,3,,Bestow Curse,Touch,False,necromancy,Necromancy
,1 action,True,Up to 1 minute,black-tentacles,4,A piece of tentacle from a giant octopus or a giant squid,Black Tentacles,90 feet,False,conjuration,Conjuration
,1 action,True,Up to 10 minutes,blade-barrier,6,,Blade Barrier,90 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,bless,1,A sprinkling of holy water.,Bless,30 feet,False,enchantment,Enchantment
,1 action,False,Instantaneous,blight,4,,Blight,30 feet,False,necromancy,Necromancy
,1 action,False,1 minute,blindness-deafness,2,,Blindness/Deafness,30 feet,False,necromancy,Necromancy
,1 action,False,1 minute,blink,3,,Blink,Self,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,blur,2,,Blur,Self,False,illusion,Illusion
,1 bonus action,True,Up to 1 minute,branding-smite,2,,Branding Smite,Self,False,evocation,Evocation
,1 action,False,Instantaneous,burning-hands,1,,Burning Hands,Self,False,evocation,Evocation
,1 action,True,Up to 10 minutes,call-lightning,3,,Call Lightning,120 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,calm-emotions,2,,Calm Emotions,60 feet,False,enchantment,Enchantment
,1 action,False,Instantaneous,chain-lightning,6,"A bit of fur; a piece of amber, glass, or a crystal rod; and three silver pins.",Chain Lightning,150 feet,False,evocation,Evocation
,1 action,False,1 hour,charm-person,1,,Charm Person,30 feet,False,enchantment,Enchantment
ranged,1 action,False,1 round,chill-touch,0,,Chill Touch,120 feet,False,necromancy,Necromancy
,1 action,False,Instantaneous,circle-of-death,6,The powder of a crushed black pearl worth at least 500 gp.,Circle of Death,150 feet,False,necromancy,Necromancy
,10 minutes,True,Up to 10 minutes,clairvoyance,3,"A focus worth at least 100gp, either a jeweled horn for hearing or a glass eye for seeing.",Clairvoyance,1 mile,False,divination,Divination
,1 hour,False,Instantaneous,clone,8,"A diamond worth at least 1,000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes, and a vessel worth at least 2,000 gp that has a sealable lid and is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water.",Clone,Touch,False,necromancy,Necromancy
,1 action,True,Up to 10 minutes,cloudkill,5,,Cloudkill,120 feet,False,conjuration,Conjuration
,1 action,False,1 round,color-spray,1,"A pinch of powder or sand that is colored red, yellow, and blue.",Color Spray,Self,False,illusion,Illusion
,1 action,False,1 round,command,1,,Command,60 feet,False,enchantment,Enchantment
,1 minute,False,1 minute,commune,5,Incense and a vial of holy or unholy water.,Commune,Self,True,divination,Divination
,1 minute,False,Instantaneous,commune-with-nature,5,,Commune With Nature,Self,True,divination,Divination
,1 action,False,1 hour,comprehend-languages,1,A pinch of soot and salt.,Comprehend Languages,Self,True,divination,Divination
,1 action,True,Up to 1 minute,compulsion,4,,Compulsion,30 feet,False,enchantment,Enchantment
,1 action,False,Instantaneous,cone-of-cold,5,A small crystal or glass cone.,Cone of Cold,Self,False,evocation,Evocation
,1 action,True,Up to 1 minute,confusion,4,Three walnut shells.,Confusion,90 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 hour,conjure-animals,3,,Conjure Animals,60 feet,False,conjuration,Conjuration
,1 minute,True,Up to 1 hour,conjure-celestial,7,,Conjure Celestial,90 feet,False,conjuration,Conjuration
,1 minute,True,Up to 1 hour,conjure-elemental,5,"Burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water.",Conjure Elemental,90 feet,False,conjuration,Conjuration
,1 minute,True,Up to 1 hour,conjure-fey,6,,Conjure Fey,90 feet,False,conjuration,Conjuration
,1 minute,True,Up to 1 hour,conjure-minor-elementals,4,,Conjure Minor Elementals,90 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 hour,conjure-woodland-beings,4,One holly berry per creature summoned.,Conjure Woodland Beings,60 feet,False,conjuration,Conjuration
,1 minute,False,1 minute,contact-other-plane,5,,Contact Other Plane,Self,True,divination,Divination
melee,1 action,False,7 days,contagion,5,,Contagion,Touch,False,necromancy,Necromancy
,10 minutes,False,10 days,contingency,6,"A statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp.",Contingency,Self,False,evocation,Evocation
,1 action,False,Until dispelled,continual-flame,2,"Ruby dust worth 50 gp, which the spell consumes.",Continual Flame,Touch,False,evocation,Evocation
,1 action,True,Up to 10 minutes,control-water,4,A drop of water and a pinch of dust.,Control Water,300 feet,False,transmutation,Transmutation
,10 minutes,True,Up to 8 hours,control-weather,8,Burning incense and bits of earth and wood mixed in water.,Control Weather,Self,False,transmutation,Transmutation
,1 reaction,False,Instantaneous,counterspell,3,,Counterspell,60 feet,False,abjuration,Abjuration
,1 action,False,Instantaneous,create-food-and-water,3,,Create Food and Water,30 feet,False,conjuration,Conjuration
,1 minute,False,Instantaneous,create-undead,6,"One clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse.",Create Undead,10 feet,False,necromancy,Necromancy
,1 action,False,Instantaneous,create-or-destroy-water,1,"A drop of water if creating water, or a few grains of sand if destroying it.",Create or Destroy Water,30 feet,False,transmutation,Transmutation
,1 minute,False,Special,creation,5,A tiny piece of matter of the same type of the item you plan to create.,Creation,30 feet,False,illusion,Illusion
,1 action,False,Instantaneous,cure-wounds,1,,Cure Wounds,Touch,False,evocation,Evocation
,1 action,True,Up to 1 minute,dancing-lights,0,"A bit of phosphorus or wychwood, or a glowworm.",Dancing Lights,120 feet,False,evocation,Evocation
,1 action,True,Up to 10 minutes,darkness,2,Bat fur and a drop of pitch or piece of coal.,Darkness,60 feet,False,evocation,Evocation
,1 action,False,8 hours,darkvision,2,Either a pinch of dried carrot or an agate.,Darkvision,Touch,False,transmutation,Transmutation
,1 action,False,1 hour,daylight,3,,Daylight,60 feet,False,evocation,Evocation
,1 action,False,8 hours,death-ward,4,,Death Ward,Touch,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,delayed-blast-fireball,7,A tiny ball of bat guano and sulfur.,Delayed Blast Fireball,150 feet,False,evocation,Evocation
,1 action,False,1 hour,demiplane,8,,Demiplane,60 feet,False,conjuration,Conjuration
,1 action,True,Up to 10 minutes,detect-evil-and-good,1,,Detect Evil and Good,Self,False,divination,Divination
,1 action,True,Up to 10 minutes,detect-magic,1,,Detect Magic,Self,True,divination,Divination
,1 action,True,Up to 10 minutes,detect-poison-and-disease,1,A yew leaf.,Detect Poison and Disease,Self,True,divination,Divination
,1 action,True,Up to 1 minute,detect-thoughts,2,A copper coin.,Detect Thoughts,Self,False,divination,Divination
,1 action,False,Instantaneous,dimension-door,4,,Dimension Door,500 feet,False,conjuration,Conjuration
,1 action,False,1 hour,disguise-self,1,,Disguise Self,Self,False,illusion,Illusion
,1 action,False,Instantaneous,disintegrate,6,A lodestone and a pinch of dust.,Disintegrate,60 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,dispel-evil-and-good,5,Holy water or powdered silver and iron.,Dispel Evil and Good,Self,False,abjuration,Abjuration
,1 action,False,Instantaneous,dispel-magic,3,,Dispel Magic,120 feet,False,abjuration,Abjuration
,1 action,False,Instantaneous,divination,4,"Incense and a sacrificial offering appropriate to your religion, together worth at least 25gp, which the spell consumes.",Divination,Self,True,divination,Divination
,1 bonus action,True,Up to 1 minute,divine-favor,1,,Divine Favor,Self,False,evocation,Evocation
,1 bonus action,False,Instantaneous,divine-word,7,,Divine Word,30 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,dominate-beast,4,,Dominate Beast,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 hour,dominate-monster,8,,Dominate Monster,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,dominate-person,5,,Dominate Person,60 feet,False,enchantment,Enchantment
,1 minute,False,8 hours,dream,5,"A handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird.",Dream,Special,False,illusion,Illusion
,1 action,False,Instantaneous,druidcraft,0,,Druidcraft,30 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,earthquake,8,"A pinch of dirt, a piece of rock, and a lump of clay.",Earthquake,500 feet,False,evocation,Evocation
ranged,1 action,False,Instantaneous,eldritch-blast,0,,Eldritch Blast,120 feet,False,evocation,Evocation
,1 action,True,Up to 1 hour,enhance-ability,2,Fur or a feather from a beast.,Enhance Ability,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,enlarge-reduce,2,A pinch iron powder.,Enlarge/Reduce,30 feet,False,transmutation,Transmutation
