desc,index,name,script,type,typical_speakers,url
,common,Common,Common,Standard,[Humans],/api/languages/common
Dwarvish is full of hard consonants and guttural sounds.,dwarvish,Dwarvish,Dwarvish,Standard,[Dwarves],/api/languages/dwarvish
"Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.",elvish,Elvish,Elvish,Standard,[Elves],/api/languages/elvish
,giant,Giant,Dwarvish,Standard,[Ogres Giants],/api/languages/giant
"The Gnomish language, which uses the Dwarvish script, is renowned for its technical treatises and its catalogs of knowledge about the natural world.",gnomish,Gnomish,Dwarvish,Standard,[Gnomes],/api/languages/gnomish
,goblin,Goblin,Dwarvish,Standard,[Goblinoids],/api/languages/goblin
"The Halfling language isn't secret, but halflings are loath to share it with others. They write very little, so they don't have a rich body of literature. Their oral tradition, however, is very strong.",halfling,Halfling,Common,Standard,[Halflings],/api/languages/halfling
"Orc is a harsh, grating language with hard consonants. It has no script of its own but is written in the Dwarvish script.",orc,Orc,Dwarvish,Standard,[Orcs],/api/languages/orc
,abyssal,Abyssal,Infernal,Exotic,[Demons],/api/languages/abyssal
,celestial,Celestial,Celestial,Exotic,[Celestials],/api/languages/celestial
Draconic is thought to be one of the oldest languages and is often used in the study of magic. The language sounds harsh to most other creatures and includes numerous hard consonants and sibilants.,draconic,Draconic,Draconic,Exotic,[Dragons Dragonborn],/api/languages/draconic
,deep-speech,Deep Speech,,Exotic,[Aboleths Cloakers],/api/languages/deep-speech
,infernal,Infernal,Infernal,Exotic,[Devils],/api/languages/infernal
,primordial,Primordial,Dwarvish,Exotic,[Elementals],/api/languages/primordial
,sylvan,Sylvan,Elvish,Exotic,[Fey creatures],/api/languages/sylvan
,undercommon,Undercommon,Elvish,Exotic,[Underdark traders],/api/languages/undercommon
